Year,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1976,31,44,22,44,0,43,0,50,44,46,49,36,30,53,0,0,30,0,0,40,40,0,50,34,49,40,44,0,35,48
1975,29,54,0,24,0,49,0,0,36,59,40,0,46,40,0,0,38,0,0,38,43,0,46,42,37,31,0,0,38,48
1974,31,60,0,47,0,40,0,0,40,48,41,0,49,30,0,0,38,0,0,40,43,0,34,32,38,44,0,0,23,60
1973,35,56,0,54,0,29,0,0,52,44,32,0,42,47,0,0,59,0,0,49,36,0,25,30,27,33,0,0,0,47
1972,46,68,0,51,0,32,0,0,40,47,33,0,21,60,0,0,60,0,0,57,26,0,9,38,21,36,0,0,0,52
1971,36,56,0,57,0,23,0,0,26,51,34,0,22,69,0,0,63,0,0,48,47,0,30,49,18,30,0,0,0,38
1970,36,44,0,51,0,15,0,0,45,41,40,0,22,48,0,0,66,0,0,52,38,0,47,48,29,33,0,0,0,42
1969,48,34,0,39,0,0,0,0,31,30,27,0,0,46,0,0,56,0,0,60,36,0,42,39,0,36,0,0,0,50
1968,48,48,0,33,0,0,0,0,32,41,37,0,0,55,0,0,27,0,0,54,30,0,55,16,0,41,0,0,0,57
1967,56,54,0,29,0,0,0,0,40,43,15,0,0,52,0,0,0,0,0,43,23,0,62,0,0,39,0,0,0,36
1966,39,60,0,33,0,0,0,0,30,44,0,0,0,36,0,0,0,0,0,36,0,0,68,0,0,39,0,0,0,20
1965,36,54,0,0,0,0,0,0,22,35,0,0,0,45,0,0,0,0,0,30,0,0,55,0,0,45,0,0,0,38
1964,45,62,0,0,0,0,0,0,31,17,0,0,0,49,0,0,0,0,0,31,0,0,40,0,0,48,0,0,0,37
1963,46,59,0,0,0,0,0,0,23,48,0,0,0,42,0,0,0,0,0,22,0,0,34,0,0,55,0,0,0,31
1962,48,58,0,0,0,0,0,0,34,31,0,0,0,53,0,0,0,0,0,21,0,0,48,0,0,42,0,0,0,25
1961,29,60,0,0,0,0,0,0,37,49,0,0,0,54,0,0,0,0,0,29,0,0,41,0,0,43,0,0,0,18
1960,51,57,0,0,0,0,0,0,34,46,0,0,0,36,0,0,0,0,0,21,0,0,38,0,0,33,0,0,0,
1959,46,59,0,0,0,0,0,0,30,49,0,0,0,25,0,0,0,0,0,27,0,0,45,0,0,19,0,0,0,
1958,49,52,0,0,0,0,0,0,28,32,0,0,0,33,0,0,0,0,0,40,0,0,35,0,0,19,0,0,0,
1957,41,49,0,0,0,0,0,0,33,37,0,0,0,19,0,0,0,0,0,35,0,0,41,0,0,33,0,0,0,
1956,34,44,0,0,0,0,0,0,34,37,0,0,0,34,0,0,0,0,0,36,0,0,38,0,0,31,0,0,0,
1955,33,39,0,0,0,0,0,0,37,45,0,0,0,33,0,0,0,0,0,35,0,0,35,0,0,31,0,0,0,
1954,26,36,0,0,0,0,0,0,43,33,0,0,0,40,0,0,0,0,0,38,0,0,43,0,0,29,0,0,0,
1953,21,42,0,0,0,0,0,0,40,29,0,0,0,46,0,0,0,0,0,44,0,0,42,0,0,44,0,0,0,
1952,27,46,0,0,0,0,0,0,36,12,0,0,0,48,0,0,0,0,0,47,0,0,47,0,0,44,0,0,0,
1951,17,39,0,0,0,0,0,0,29,33,0,0,0,40,0,0,0,0,0,37,0,0,40,0,0,41,0,0,0,
1950,25,39,0,0,0,0,0,0,32,40,0,0,0,44,0,0,0,0,0,36,0,0,32,0,0,41,0,0,0,
1949,29,22,0,0,0,0,0,0,40,26,0,0,0,51,0,0,0,0,0,40,0,0,51,0,0,51,0,0,0,
1948,0,25,0,0,0,0,0,0,22,28,0,0,0,44,0,0,0,0,0,32,0,0,0,0,0,45,0,0,0,
1947,0,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,
1946,0,22,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,
